ID,X,Y,Surowiec,IloscMiejsc
65,1006,3204,Zloto,4
66,1671,4251,Miedz,6
67,4902,2621,Zelazo,2
68,532,5697,Diamenty,3
69,6003,1818,Zloto,2
70,3610,1325,Diamenty,4
71,6154,3392,Zelazo,5
72,7239,2303,Srebro,5
73,7783,3457,Wegiel,4
74,5982,7019,Zloto,2
75,880,1797,Diamenty,2
76,1520,2758,Srebro,3
77,5465,4866,Zelazo,2
78,6180,7844,Zelazo,6
79,4083,935,Zloto,2
80,5477,5224,Wegiel,4
81,2985,7460,Zloto,6
82,4638,3710,Srebro,3
83,3142,2713,Wegiel,5
84,5043,4779,Srebro,2
85,1751,6825,Miedz,5
86,2104,5006,Miedz,5
87,3126,2144,Diamenty,5
88,3395,1400,Diamenty,6
89,307,5032,Zelazo,4
90,7310,1564,Wegiel,2
91,3743,7062,Zloto,5
92,3890,896,Zloto,5
93,5194,3244,Miedz,2
94,4261,1882,Srebro,3
95,5193,6814,Srebro,6
96,3781,5247,Zloto,4
97,96,607,Miedz,2
98,4776,2971,Miedz,6
99,4514,2489,Zelazo,6
100,7920,544,Diamenty,5
101,7885,995,Diamenty,3
102,4140,7132,Zloto,3
103,6440,3010,Zelazo,4
104,2395,7530,Zelazo,6
105,5510,1941,Diamenty,2
106,3959,7467,Wegiel,6
107,222,5463,Srebro,6
108,2939,5884,Miedz,2
109,4882,841,Wegiel,4
110,6542,1460,Srebro,3
111,703,4297,Miedz,3
112,4411,2712,Miedz,6
113,1322,3023,Zelazo,4
114,80,443,Diamenty,2
115,7639,761,Miedz,2
116,488,1803,Srebro,4
117,760,2937,Miedz,4
118,3772,7156,Srebro,6
119,1579,60,Srebro,6
120,2978,7213,Wegiel,5
121,7212,3056,Zelazo,3
122,4228,6300,Srebro,2
123,3652,6652,Wegiel,4
124,470,2293,Zloto,6
125,6098,4293,Zelazo,5
126,727,5493,Miedz,2
127,5385,5343,Diamenty,6
128,3326,5446,Diamenty,2
129,1809,7520,Diamenty,3
130,5144,84,Wegiel,2
131,2761,675,Zloto,4
132,7303,7055,Zloto,4
133,6498,7728,Srebro,6
134,7006,2084,Zelazo,4
135,4327,1759,Miedz,2
136,4336,7445,Zelazo,4
137,2934,90,Diamenty,6
138,3053,7347,Diamenty,4
139,6319,7419,Diamenty,2
140,2180,3447,Zelazo,5
141,5629,3913,Miedz,6
142,338,7532,Diamenty,3
143,142,6800,Miedz,2
144,3532,3357,Zloto,4
145,2410,2021,Zloto,3
146,7140,6048,Wegiel,4
147,5211,4447,Zloto,5
148,7881,4909,Srebro,6
149,127,5124,Srebro,2
150,4850,5494,Srebro,3
151,7319,3935,Srebro,2
152,1306,2367,Miedz,4
153,7691,2611,Wegiel,3
154,4746,964,Diamenty,4
155,5962,1234,Srebro,4
156,6925,6598,Wegiel,5
157,7595,1931,Wegiel,6
158,6804,6616,Zloto,4
159,1666,2268,Srebro,6
160,109,5195,Wegiel,4
161,4419,7714,Zelazo,3
162,831,841,Zelazo,6
163,536,424,Wegiel,6
164,5827,4037,Miedz,6
165,5181,3988,Wegiel,2
166,5760,6003,Diamenty,2
167,6950,4932,Srebro,5
168,2529,5577,Diamenty,2
169,2571,1520,Zloto,5
170,3067,4962,Zloto,6
171,3253,2827,Diamenty,4
172,7060,6425,Zelazo,5
173,1579,4604,Wegiel,5
174,5417,1519,Wegiel,2
175,6885,3359,Miedz,2
176,4293,7282,Srebro,6
177,7067,272,Srebro,5
178,6541,2714,Diamenty,4
179,314,2216,Zelazo,2
180,5410,4112,Diamenty,5
181,7008,5078,Wegiel,2
182,1987,2963,Wegiel,5
183,4426,3806,Diamenty,2
184,7719,4792,Diamenty,5
185,2897,1464,Miedz,6
186,7528,2375,Zelazo,3
187,3120,7405,Diamenty,4
188,5648,3499,Zloto,5
189,4774,7368,Zloto,6
190,354,6283,Zelazo,4
191,521,5483,Wegiel,6
192,5960,5376,Diamenty,5
193,1070,2102,Wegiel,2
194,6849,3942,Zelazo,5
195,2105,7296,Miedz,2
196,1704,4248,Diamenty,5
197,2563,7000,Srebro,5
198,7345,5878,Diamenty,4
199,6921,6183,Zelazo,3
200,1615,1452,Srebro,5
201,3423,989,Zloto,2
202,6663,5573,Diamenty,2
203,7601,7220,Zelazo,2
204,7924,5351,Srebro,2
205,617,4036,Zelazo,3
206,4499,5394,Srebro,6
207,3631,2574,Miedz,3
208,746,7880,Miedz,4
209,3529,386,Diamenty,6
210,3305,4752,Miedz,3
211,6767,4472,Zloto,3
212,7332,3720,Zloto,4
213,5445,1609,Diamenty,5
214,1853,5904,Miedz,4
215,3384,2376,Diamenty,5
216,6614,3667,Wegiel,2
217,4169,7355,Miedz,4
218,2869,7279,Zloto,5
219,779,578,Zloto,4
220,1274,3058,Diamenty,6
221,5602,7441,Diamenty,2
222,1550,2436,Wegiel,2
223,6445,7065,Zloto,4
224,6882,2749,Diamenty,4
225,7322,5546,Zloto,2
226,3790,444,Miedz,2
227,1632,3837,Srebro,4
228,6951,3569,Diamenty,2
229,5625,1389,Miedz,2
230,4363,5631,Zelazo,5
231,3960,6496,Diamenty,4
232,3710,2308,Wegiel,6
233,5338,5023,Miedz,5
234,1596,7046,Zelazo,3
235,7067,2209,Diamenty,4
236,2130,1809,Miedz,4
237,5090,4320,Zloto,5
238,5260,3806,Srebro,5
239,7364,1268,Diamenty,4
240,7261,4115,Miedz,6
241,721,105,Srebro,6
242,3570,2430,Wegiel,3
243,2202,3840,Wegiel,2
244,2841,584,Srebro,3
245,1860,2176,Zloto,4
246,2919,3698,Zloto,6
247,4165,869,Wegiel,2
248,2346,4795,Diamenty,4
249,1641,5467,Diamenty,2
250,6110,4155,Miedz,4
251,858,4290,Diamenty,2
252,3530,1890,Srebro,6
253,4262,353,Wegiel,6
254,7227,372,Diamenty,4
255,5293,6514,Wegiel,6
256,4748,4941,Srebro,4
257,3469,4943,Zelazo,6
258,949,1729,Srebro,2
259,2602,7397,Diamenty,4
260,7872,6106,Zloto,3
261,5156,3067,Diamenty,4
262,2037,1140,Srebro,4
263,1000,3055,Wegiel,4
264,6800,6042,Wegiel,6
265,638,6803,Miedz,3
266,4776,5210,Diamenty,6
267,2704,5113,Zloto,4
268,731,3561,Srebro,4
269,6019,5929,Zelazo,5
270,4258,3604,Srebro,2
271,6024,6156,Diamenty,3
272,1753,7733,Wegiel,2
273,7464,4622,Miedz,4
274,7433,7241,Wegiel,5
275,4798,6255,Diamenty,2
276,803,5879,Srebro,6
277,1618,7459,Zloto,3
278,5140,493,Zloto,4
279,4381,174,Zelazo,6
280,7372,5943,Zelazo,2
281,6399,4112,Srebro,6
282,7948,5288,Zloto,2
283,7407,6700,Zloto,6
284,7597,2964,Miedz,4
285,6017,881,Miedz,6
286,7570,2303,Wegiel,4
287,7249,5653,Wegiel,6
288,5454,7873,Zelazo,3
289,965,2781,Zelazo,4
290,2070,6926,Diamenty,5
291,2989,6984,Diamenty,3
292,4112,4775,Srebro,6
293,2658,6245,Zloto,3
294,499,6300,Zelazo,5
295,5735,3817,Zelazo,5
296,6231,1313,Miedz,5
297,7376,1863,Zloto,4
298,6544,5108,Zelazo,6
299,2210,6125,Miedz,4
300,142,5873,Zloto,3
