ID,X,Y,Surowiec,IloscMiejsc
470,422,6206,Miedz,2
471,7667,5510,Zelazo,2
472,1135,7432,Miedz,5
473,7290,6596,Srebro,2
474,197,7524,Srebro,5
475,6080,7288,Wegiel,3
476,2342,2587,Srebro,5
477,1458,3754,Srebro,4
478,3943,6839,Zloto,3
479,1024,3052,Zloto,6
480,2847,1617,Miedz,4
481,1355,3368,Wegiel,4
482,3358,5727,Srebro,6
483,4221,4466,Srebro,4
484,2242,5850,Zelazo,3
485,5272,7744,Diamenty,6
486,6003,1301,Zloto,4
487,3932,7665,Diamenty,6
488,5307,7743,Zelazo,3
489,414,1628,Zelazo,5
490,681,7517,Zelazo,2
491,7683,7717,Miedz,4
492,3222,3096,Zloto,2
493,3372,5838,Miedz,4
494,7295,4922,Zloto,2
495,3822,3342,Zloto,5
496,7421,966,Wegiel,6
497,4806,1301,Diamenty,6
498,2546,6145,Zloto,6
499,7574,3765,Miedz,6
500,7597,2283,Diamenty,2
501,5520,7476,Wegiel,4
502,5259,4452,Zelazo,3
503,4394,3979,Srebro,6
504,3168,4168,Zloto,3
505,6776,5199,Diamenty,3
506,5290,410,Wegiel,6
507,2760,7329,Diamenty,5
508,188,6980,Wegiel,2
509,5462,7134,Wegiel,4
510,6349,3301,Srebro,4
511,6656,5588,Miedz,6
512,4295,2459,Miedz,3
513,5918,7865,Miedz,4
514,4229,290,Zloto,2
515,530,4748,Diamenty,5
516,6259,5479,Wegiel,3
517,3512,4361,Srebro,6
518,2781,1652,Zelazo,5
519,7376,4138,Zloto,5
520,219,497,Srebro,5
521,330,2876,Diamenty,3
522,3945,3797,Miedz,3
523,6307,7947,Zloto,3
524,5572,393,Wegiel,6
525,2947,5498,Wegiel,5
526,2571,3428,Zloto,3
527,881,2088,Diamenty,2
528,6972,439,Zloto,4
529,270,5313,Wegiel,3
530,1163,6399,Miedz,4
531,6914,6619,Zloto,4
532,1716,5835,Wegiel,4
533,902,7206,Wegiel,6
534,1672,2478,Diamenty,6
535,6419,444,Srebro,5
536,6796,6915,Zelazo,2
537,4599,5872,Diamenty,4
538,5041,2273,Wegiel,6
539,5223,1456,Diamenty,3
540,116,5948,Diamenty,3
541,7725,2077,Diamenty,4
542,5260,6266,Zelazo,6
543,2228,1862,Srebro,5
544,3695,7672,Wegiel,6
545,5126,6795,Wegiel,6
546,4874,3961,Zloto,5
547,2448,2663,Wegiel,3
548,4111,6659,Zloto,5
549,6318,1409,Zelazo,2
550,7516,2611,Wegiel,6
551,2024,6936,Wegiel,6
552,2133,5554,Miedz,4
553,4136,728,Diamenty,5
554,3056,3724,Srebro,2
555,1558,4889,Zloto,4
556,326,6573,Zloto,4
557,3693,3787,Zelazo,2
558,448,4005,Miedz,2
559,6519,1796,Diamenty,6
560,4289,7086,Zelazo,5
561,2303,699,Srebro,6
562,1009,384,Zelazo,4
563,5587,3596,Zloto,3
564,3784,6581,Diamenty,5
565,441,7249,Miedz,2
566,4145,7542,Wegiel,5
567,5072,4811,Diamenty,6
568,6391,3211,Zelazo,5
569,7445,4363,Zloto,6
570,5943,3054,Miedz,5
571,7897,4542,Zelazo,5
572,5545,7729,Miedz,3
573,1346,1108,Miedz,6
574,5395,6342,Srebro,3
575,880,3397,Diamenty,4
576,144,3888,Wegiel,4
577,4349,5862,Miedz,3
578,2232,6060,Wegiel,6
579,1505,6146,Miedz,2
580,2651,5275,Zloto,5
581,5863,7856,Miedz,5
582,7470,3737,Zloto,4
583,548,6934,Zelazo,3
584,7330,2767,Diamenty,4
585,7771,1109,Zelazo,4
586,5958,7471,Diamenty,6
587,5798,1853,Srebro,6
588,764,5914,Zloto,5
589,4195,1408,Miedz,6
590,3460,7834,Wegiel,6
591,303,5640,Srebro,4
592,6807,6175,Miedz,4
593,6597,6515,Srebro,4
594,4425,3732,Miedz,2
595,4438,6750,Diamenty,4
596,5969,4847,Zelazo,2
597,1379,401,Zloto,5
598,6049,1536,Miedz,6
599,7185,2654,Zloto,5
600,1353,3480,Srebro,3
601,1864,1436,Diamenty,2
602,2752,1872,Diamenty,6
603,3524,7429,Zloto,4
604,225,380,Srebro,5
605,213,4177,Zelazo,4
606,5086,1202,Srebro,4
607,6259,6661,Zloto,5
608,2934,1757,Diamenty,4
609,2868,2345,Zelazo,2
610,6019,2657,Zloto,4
611,3632,5756,Srebro,3
612,3341,6889,Srebro,6
613,6085,2993,Wegiel,3
614,7111,526,Srebro,3
615,6713,2581,Srebro,2
616,1727,7150,Zelazo,3
617,7563,4624,Miedz,6
618,7191,4826,Wegiel,5
619,4359,3376,Zelazo,3
620,845,7111,Zloto,5
621,5410,937,Zloto,5
622,2965,5745,Miedz,2
623,5856,4787,Zloto,3
624,1232,4184,Wegiel,5
625,1651,5437,Zloto,5
626,2532,6044,Wegiel,5
627,2616,7814,Srebro,5
628,345,7240,Wegiel,2
629,5282,7647,Miedz,5
630,4522,4694,Diamenty,4
631,3093,2126,Zloto,6
632,3048,3692,Srebro,6
633,4920,7491,Diamenty,5
634,6997,379,Srebro,5
635,203,7591,Miedz,4
636,6281,2585,Miedz,5
637,177,4869,Srebro,3
638,2735,6915,Zelazo,5
639,7321,5380,Wegiel,4
640,7308,5606,Miedz,3
641,2908,4047,Miedz,3
642,7789,7211,Zelazo,6
643,5536,7789,Miedz,6
644,4150,7398,Wegiel,6
645,1163,6915,Wegiel,3
646,5803,2037,Zelazo,2
647,894,3270,Wegiel,5
648,5157,2896,Miedz,4
649,7275,7395,Zelazo,5
650,6234,6025,Zelazo,6
651,3284,434,Zelazo,4
652,7117,4908,Zelazo,5
653,6809,4613,Wegiel,6
654,7442,6138,Zloto,6
655,7936,3398,Wegiel,6
656,4188,5099,Diamenty,2
657,1820,5197,Zloto,4
658,2335,1408,Wegiel,6
659,1088,3417,Zloto,2
660,6960,576,Zelazo,6
661,1147,7449,Miedz,6
662,2065,3264,Srebro,6
663,107,4103,Wegiel,3
664,5418,6868,Miedz,4
665,7876,4241,Srebro,2
666,181,6649,Miedz,2
667,4256,3518,Zloto,6
668,2247,2595,Wegiel,6
669,4904,875,Wegiel,5
670,1153,696,Zloto,2
671,222,6871,Zloto,5
672,6760,6338,Diamenty,2
673,6091,3433,Zelazo,6
674,6621,2823,Srebro,5
675,3720,3080,Diamenty,2
676,5459,622,Diamenty,4
677,4109,2272,Zloto,5
678,4740,4806,Zloto,2
679,2434,660,Wegiel,2
680,6828,5833,Srebro,2
681,7722,438,Zloto,2
682,5772,2496,Wegiel,3
683,7788,4791,Diamenty,6
684,3761,5853,Zloto,2
685,6995,2815,Srebro,4
686,7881,2010,Miedz,4
687,687,7152,Wegiel,6
688,3334,463,Zloto,6
689,387,3859,Diamenty,6
690,4210,3235,Srebro,5
691,7429,1732,Diamenty,2
692,2926,2604,Diamenty,5
693,584,3343,Srebro,6
694,3891,1133,Diamenty,2
695,920,5166,Zelazo,6
696,2809,5865,Miedz,3
697,2146,6583,Miedz,6
698,3871,2798,Zelazo,5
699,7921,4243,Wegiel,5
700,1768,907,Srebro,5
