ID,X,Y,Surowiec,IloscMiejsc
72,2517,3273,Diamenty,2
73,2975,1662,Miedz,5
74,3162,2270,Wegiel,3
75,3910,696,Wegiel,3
76,5806,1679,Diamenty,2
77,813,1909,Zloto,3
78,4661,512,Diamenty,5
79,3446,7598,Miedz,3
80,2630,5079,Miedz,4
81,1904,5123,Wegiel,3
82,5922,2290,Wegiel,5
83,1686,1148,Srebro,3
84,168,2076,Zloto,2
85,7334,3167,Srebro,6
86,1596,60,Miedz,2
87,6973,1376,Zelazo,2
88,254,4815,Diamenty,6
89,6356,1536,Wegiel,2
90,1598,3480,Miedz,2
91,2030,2031,Diamenty,2
92,4233,7365,Zloto,6
93,2214,2613,Diamenty,5
94,4547,3091,Diamenty,6
95,1092,4201,Srebro,2
96,7527,6661,Zloto,4
97,5290,356,Zelazo,4
98,2287,4829,Zloto,3
99,6921,1584,Miedz,3
100,576,3999,Diamenty,5
101,7442,7407,Miedz,4
102,2331,2948,Zloto,2
103,1406,4528,Zelazo,4
104,6308,929,Wegiel,4
105,4820,4882,Miedz,5
106,263,4993,Zloto,4
107,5023,4455,Zelazo,6
108,5091,408,Miedz,2
109,6949,7838,Wegiel,3
110,3530,4200,Wegiel,5
111,6041,6858,Zelazo,3
112,4734,1684,Zelazo,6
113,2824,5417,Srebro,6
114,4630,3855,Miedz,3
115,2898,7262,Zelazo,4
116,1436,2054,Srebro,2
117,4981,2359,Zloto,4
118,7740,6953,Wegiel,6
119,864,3962,Wegiel,3
120,4500,63,Diamenty,6
121,5743,7257,Zloto,5
122,5004,3949,Zelazo,4
123,2002,6861,Wegiel,3
124,5270,1505,Miedz,6
125,2767,3823,Zloto,4
126,5707,7462,Diamenty,6
127,2573,7238,Zloto,5
128,7885,2687,Zloto,3
129,6248,4161,Zelazo,3
130,5585,4343,Diamenty,2
131,5469,1176,Miedz,3
132,6701,5429,Diamenty,4
133,3843,7377,Srebro,4
134,710,5091,Miedz,2
135,277,3259,Srebro,6
136,6232,1355,Srebro,3
137,4538,4610,Wegiel,2
138,2007,1185,Srebro,6
139,1429,7535,Zelazo,2
140,446,3067,Zloto,2
141,5581,604,Zelazo,6
142,64,285,Diamenty,6
143,332,7110,Wegiel,2
144,4786,2996,Srebro,3
145,1081,6748,Zelazo,5
146,1042,2150,Zelazo,3
147,7684,2372,Srebro,5
148,4243,3978,Srebro,4
149,1298,2846,Wegiel,2
150,3965,4872,Miedz,3
151,496,4773,Zelazo,3
152,3580,6441,Diamenty,5
153,5470,1577,Diamenty,6
154,2455,7767,Srebro,5
155,89,1330,Wegiel,3
156,1590,4637,Wegiel,5
157,7106,6225,Miedz,6
158,4479,5747,Miedz,3
159,5957,7912,Srebro,5
160,3425,4397,Srebro,4
161,3167,4720,Zloto,5
162,677,6815,Zloto,3
163,5646,1051,Srebro,4
164,4438,1012,Srebro,4
165,6757,606,Srebro,5
166,555,1792,Zloto,4
167,2518,4012,Miedz,2
168,7807,4326,Srebro,5
169,1227,478,Diamenty,5
170,5016,3412,Wegiel,4
171,156,1574,Srebro,6
172,4285,326,Miedz,6
173,6026,2919,Miedz,3
174,1154,78,Diamenty,3
175,2523,956,Srebro,6
176,107,2766,Miedz,6
177,7361,5751,Miedz,2
178,1574,293,Srebro,2
179,6368,2381,Zloto,6
180,3211,4015,Diamenty,3
181,1489,5304,Zelazo,6
182,4033,2174,Srebro,6
183,2294,4996,Wegiel,4
184,4926,4613,Srebro,2
185,5144,5295,Miedz,5
186,5093,5491,Diamenty,2
187,5707,2783,Wegiel,5
188,3448,949,Diamenty,5
189,2167,6526,Zelazo,5
190,4243,3660,Wegiel,2
191,1326,5352,Wegiel,3
192,4300,5137,Diamenty,4
193,7539,6825,Srebro,6
194,2041,340,Wegiel,4
195,7800,1689,Miedz,2
196,2348,368,Diamenty,2
197,5871,3801,Srebro,2
198,1306,5569,Zelazo,2
199,5522,3375,Srebro,5
200,4218,4446,Zelazo,6
